symbol,date,price
한미약품,11-22-2017,560000
한미약품,11-23-2017,564000
한미약품,11-24-2017,575000
한미약품,11-27-2017,569000
한미약품,11-28-2017,575000
한미약품,11-29-2017,595000
한미약품,11-30-2017,569000
한미약품,12-01-2017,580000
한미약품,12-04-2017,576000
한미약품,12-05-2017,576000
한미약품,12-06-2017,556000
한미약품,12-07-2017,532000
한미약품,12-08-2017,535000
한미약품,12-11-2017,571000
한미약품,12-12-2017,570000
한미약품,12-13-2017,573000
한미약품,12-14-2017,569000
한미약품,12-15-2017,568000
한미약품,12-18-2017,564000
한미약품,12-19-2017,570000
한미약품,12-20-2017,564000
한미약품,12-21-2017,553000
한미약품,12-22-2017,573000
한미약품,12-26-2017,575000
한미약품,12-27-2017,581000
한미약품,12-28-2017,584000
한미약품,01-02-2018,592000
한미약품,01-03-2018,606000
한미약품,01-04-2018,586000
한미약품,01-05-2018,598000
한미약품,01-08-2018,599000
한미약품,01-09-2018,587000
한미약품,01-10-2018,589000
한미약품,01-11-2018,585000
한미약품,01-12-2018,620000
한미약품,01-15-2018,618000
한미약품,01-16-2018,606000
한미약품,01-17-2018,589000
한미약품,01-18-2018,591000
한미약품,01-19-2018,570000
한미약품,01-22-2018,560000
한미약품,01-23-2018,588000
한미약품,01-24-2018,584000
한미약품,01-25-2018,585000
한미약품,01-26-2018,595000
한미약품,01-29-2018,592000
한미약품,01-30-2018,607000
한미약품,01-31-2018,597000
한미약품,02-01-2018,569000
한미약품,02-02-2018,563000
한미약품,02-05-2018,521000
한미약품,02-06-2018,554000
한미약품,02-07-2018,545000
한미약품,02-08-2018,547000
한미약품,02-09-2018,536000
한미약품,02-12-2018,529000
한미약품,02-13-2018,538000
한미약품,02-14-2018,541000
한미약품,02-19-2018,495000
한미약품,02-20-2018,498000
한미약품,02-21-2018,495000
한미약품,02-22-2018,485000
한미약품,02-23-2018,486000
한미약품,02-26-2018,485000
한미약품,02-27-2018,490000
한미약품,02-28-2018,463000
한미약품,03-02-2018,455500
한미약품,03-05-2018,455500
한미약품,03-06-2018,479000
한미약품,03-07-2018,472000
한미약품,03-08-2018,471500
한미약품,03-09-2018,479000
한미약품,03-12-2018,510000
한미약품,03-13-2018,511000
한미약품,03-14-2018,503000
한미약품,03-15-2018,513000
한미약품,03-16-2018,511000
한미약품,03-19-2018,503000
한미약품,03-20-2018,509000
한미약품,03-21-2018,525000
한미약품,03-22-2018,513000
한미약품,03-23-2018,494500
한미약품,03-26-2018,507000
한미약품,03-27-2018,516000
한미약품,03-28-2018,509000
한미약품,03-29-2018,517000
한미약품,03-30-2018,511000
한미약품,04-02-2018,507000
한미약품,04-03-2018,500000
한미약품,04-04-2018,519000
한미약품,04-05-2018,510000
한미약품,04-06-2018,518000
한미약품,04-09-2018,512000
한미약품,04-10-2018,555000
한미약품,04-11-2018,559000
한미약품,04-12-2018,541000
한미약품,04-13-2018,540000
한미약품,04-16-2018,525000
한미약품,04-17-2018,515000
한미약품,04-18-2018,503000
한미약품,04-19-2018,490500
한미약품,04-20-2018,492500
한미약품,04-23-2018,458000
한미약품,04-24-2018,460000
한미약품,04-25-2018,455500
한미약품,04-26-2018,474000
한미약품,04-27-2018,477500
한미약품,04-30-2018,466000
한미약품,05-02-2018,460000
한미약품,05-03-2018,461500
한미약품,05-04-2018,446500
한미약품,05-08-2018,443000
한미약품,05-09-2018,469500
한미약품,05-10-2018,459000
한미약품,05-11-2018,461000
한미약품,05-14-2018,460000
한미약품,05-15-2018,474000
한미약품,05-16-2018,482000
한미약품,05-17-2018,481500
한미약품,05-18-2018,493500
한미약품,05-21-2018,500000
한미약품,05-23-2018,477500
한미약품,05-24-2018,488500
한미약품,05-25-2018,495500
한미약품,05-28-2018,489500
한미약품,05-29-2018,497000
한미약품,05-30-2018,482000
한미약품,05-31-2018,483000
한미약품,06-01-2018,479500
한미약품,06-04-2018,471000
한미약품,06-05-2018,455000
한미약품,06-07-2018,454500
한미약품,06-08-2018,450000
한미약품,06-11-2018,450500
한미약품,06-12-2018,449500
한미약품,06-14-2018,439000
한미약품,06-15-2018,440000
한미약품,06-18-2018,429500
한미약품,06-19-2018,400000
한미약품,06-20-2018,413000
한미약품,06-21-2018,403000
한미약품,06-22-2018,423000
한미약품,06-25-2018,426000
한미약품,06-26-2018,418000
한미약품,06-27-2018,433000
한미약품,06-28-2018,422500
한미약품,06-29-2018,421000
한미약품,07-02-2018,410500
한미약품,07-03-2018,406500
한미약품,07-04-2018,441000
한미약품,07-05-2018,436500
한미약품,07-06-2018,436000
한미약품,07-09-2018,435000
한미약품,07-10-2018,448500
한미약품,07-11-2018,433500
한미약품,07-12-2018,444500
한미약품,07-13-2018,451000
한미약품,07-16-2018,455000
한미약품,07-17-2018,445000
한미약품,07-18-2018,442000
한미약품,07-19-2018,436500
한미약품,07-20-2018,439000
한미약품,07-23-2018,435000
한미약품,07-24-2018,440000
한미약품,07-25-2018,417000
한미약품,07-26-2018,421000
한미약품,07-27-2018,425000
한미약품,07-30-2018,414500
한미약품,07-31-2018,424500
한미약품,08-01-2018,425000
한미약품,08-02-2018,430500
한미약품,08-03-2018,431500
한미약품,08-06-2018,452500
한미약품,08-07-2018,452500
한미약품,08-08-2018,448500
한미약품,08-09-2018,455000
한미약품,08-10-2018,457000
한미약품,08-13-2018,423000
한미약품,08-14-2018,426000
한미약품,08-16-2018,418500
한미약품,08-17-2018,434000
한미약품,08-20-2018,433000
한미약품,08-21-2018,446000
한미약품,08-22-2018,445000
한미약품,08-23-2018,447500
한미약품,08-24-2018,461000
한미약품,08-27-2018,480500
한미약품,08-28-2018,470500
한미약품,08-29-2018,483000
한미약품,08-30-2018,488500
한미약품,08-31-2018,497500
한미약품,09-03-2018,502000
한미약품,09-04-2018,509000
한미약품,09-05-2018,497000
한미약품,09-06-2018,492500
한미약품,09-07-2018,505000
한미약품,09-10-2018,486000
한미약품,09-11-2018,489000
한미약품,09-12-2018,491000
한미약품,09-13-2018,488000
한미약품,09-14-2018,490000
한미약품,09-17-2018,496000
한미약품,09-18-2018,503000
한미약품,09-19-2018,504000
한미약품,09-20-2018,515000
한미약품,09-21-2018,514000
한미약품,09-27-2018,498000
한미약품,09-28-2018,500000
한미약품,10-01-2018,469500
한미약품,10-02-2018,462500
한미약품,10-04-2018,466500
한미약품,10-05-2018,458500
한미약품,10-08-2018,455500
한미약품,10-10-2018,451500
한미약품,10-11-2018,433500
한미약품,10-12-2018,433500
한미약품,10-15-2018,423000
한미약품,10-16-2018,425000
한미약품,10-17-2018,433000
한미약품,10-18-2018,432500
한미약품,10-19-2018,440000
한미약품,10-22-2018,438500
한미약품,10-23-2018,414500
한미약품,10-24-2018,421000
한미약품,10-25-2018,409000
한미약품,10-26-2018,393000
한미약품,10-29-2018,382500
한미약품,10-30-2018,379500
한미약품,10-31-2018,389500
한미약품,11-01-2018,392000
한미약품,11-02-2018,407000
한미약품,11-05-2018,430000
한미약품,11-06-2018,421500
한미약품,11-07-2018,428000
한미약품,11-08-2018,435500
한미약품,11-09-2018,418500
한미약품,11-12-2018,415500
한미약품,11-13-2018,429500
한미약품,11-14-2018,441500
한미약품,11-15-2018,440000
한미약품,11-16-2018,439000
한미약품,11-19-2018,448000
한미약품,11-20-2018,449000
한미약품,11-21-2018,443000
한미약품,11-22-2018,432500
한미약품,11-23-2018,428500
한미약품,11-26-2018,442000
한미약품,11-27-2018,445000
한미약품,11-28-2018,440000
한미약품,11-29-2018,449500
한미약품,11-30-2018,442500
한미약품,12-03-2018,453000
한미약품,12-04-2018,472000
한미약품,12-05-2018,476500
한미약품,12-06-2018,464500
한미약품,12-07-2018,468000
