symbol,date,price
삼성전자,11-15-2017,55340
삼성전자,11-16-2017,55780
삼성전자,11-17-2017,55820
삼성전자,11-20-2017,55200
삼성전자,11-21-2017,55280
삼성전자,11-22-2017,55960
삼성전자,11-23-2017,55300
삼성전자,11-24-2017,55460
삼성전자,11-27-2017,52640
삼성전자,11-28-2017,53280
삼성전자,11-29-2017,52600
삼성전자,11-30-2017,50800
삼성전자,12-01-2017,50840
삼성전자,12-04-2017,51340
삼성전자,12-05-2017,51260
삼성전자,12-06-2017,50020
삼성전자,12-07-2017,50740
삼성전자,12-08-2017,52000
삼성전자,12-11-2017,51780
삼성전자,12-12-2017,52100
삼성전자,12-13-2017,51320
삼성전자,12-14-2017,51060
삼성전자,12-15-2017,50620
삼성전자,12-18-2017,51200
삼성전자,12-19-2017,51560
삼성전자,12-20-2017,50880
삼성전자,12-21-2017,49140
삼성전자,12-22-2017,49700
삼성전자,12-26-2017,48200
삼성전자,12-27-2017,49360
삼성전자,12-28-2017,50960
삼성전자,01-02-2018,51020
삼성전자,01-03-2018,51620
삼성전자,01-04-2018,51080
삼성전자,01-05-2018,52120
삼성전자,01-08-2018,52020
삼성전자,01-09-2018,50400
삼성전자,01-10-2018,48840
삼성전자,01-11-2018,48240
삼성전자,01-12-2018,48200
삼성전자,01-15-2018,48540
삼성전자,01-16-2018,50000
삼성전자,01-17-2018,49620
삼성전자,01-18-2018,49900
삼성전자,01-19-2018,49320
삼성전자,01-22-2018,48240
삼성전자,01-23-2018,49160
삼성전자,01-24-2018,49340
삼성전자,01-25-2018,50260
삼성전자,01-26-2018,50780
삼성전자,01-29-2018,51220
삼성전자,01-30-2018,49800
삼성전자,01-31-2018,49900
삼성전자,02-01-2018,49820
삼성전자,02-02-2018,47700
삼성전자,02-05-2018,47920
삼성전자,02-06-2018,47420
삼성전자,02-07-2018,45800
삼성전자,02-08-2018,46000
삼성전자,02-09-2018,44700
삼성전자,02-12-2018,45720
삼성전자,02-13-2018,47540
삼성전자,02-14-2018,49000
삼성전자,02-19-2018,48380
삼성전자,02-20-2018,47400
삼성전자,02-21-2018,47280
삼성전자,02-22-2018,46760
삼성전자,02-23-2018,47220
삼성전자,02-26-2018,47380
삼성전자,02-27-2018,47380
삼성전자,02-28-2018,47060
삼성전자,03-02-2018,46020
삼성전자,03-05-2018,45200
삼성전자,03-06-2018,47020
삼성전자,03-07-2018,48620
삼성전자,03-08-2018,49200
